productName,productPrice
Indesit BTWCA51052,"299,,99€,*"
Indesit XWA71452WFR,"299,,99€,*"
Thomson TW714,"399,,99€,*"
Whirlpool FFDD9448BSVFR,"449,,00€,*"
Proline FP 610 W,"229,,99€,*"
Indesit BWE91283XWFR.1,"329,,00€,*"
Indesit BWE71483WFRN,"299,,99€,*"
Electrolux EW2F1284GF,"399,,99€,*"
Beko DWTV6621XW1W,"259,,99€,*"
Electrolux EW6F4142PS,"529,,00€,*"
Samsung WW90K6415SW,"549,,00€,*"
Proline FP 612 W,"239,,99€,*"
Electrolux EWW1606SWR,"679,,00€,*"
Beko HTE7614YBST SLIM,"399,,00€,*"
Candy CSWS485TWMBE-47,"459,,00€,*"
Electrolux EW7T3375DD,"529,,00€,*"
Electrolux EW6F4840SP PERFECTCARE,"499,,00€,*"
Faure FWQ61229WC,"399,,99€,*"
Indesit XWDE 861480X W FR,"499,,99€,*"
Proline FP581WH,"199,,99€,*"
Whirlpool ZEN8,"499,,00€,*"
Beko WTS7201W,"359,,99€,*"
Vedette VT602B,"359,,00€,*"
Beko LLF10W6,"389,,00€,*"
Bosch WAJ24007FF,"479,,00€,*"
Whirlpool TDLR55120SFR/N,"325,,00€,*"
Haier RTXSSG774TMH-47,"459,,00€,*"
Samsung WW80K5413WW ADD WASH,"499,,00€,*"
Proline PTL5511,"279,,99€,*"
Indesit MTWE81683WKFR,"399,,00€,*"
