articleLink,articleTitle
https://news.google.com/./articles/CAIiEJ3JRYj4d3-MH7mx98DnZegqMwgEKioIACIQNOSU--BdxeOU9EKlkyXaNioUCAoiEDTklPvgXcXjlPRCpZMl2jYwhOrEBg?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair Rehmani wants THIS special power
https://news.google.com/./articles/CBMiogFodHRwczovL3d3dy5zcG90Ym95ZS5jb20vdHJlbmRpbmcvdHJlbmRpbmctbmV3cy9qYW5uYXQtenViYWlyLXJlaG1hbmktb24tdGlrdG9rLWJhbi1pbi1pbmRpYS1teS1mYW1pbHktYW5kLWktdG90YWxseS1zdXBwb3J0LWl0LWV4Y2x1c2l2ZS81ZWZhZjZmZjYzYTQ1NjI5ZTViNmJkMGHSAaYBaHR0cHM6Ly93d3cuc3BvdGJveWUuY29tL2FtcC90cmVuZGluZy90cmVuZGluZy1uZXdzL2phbm5hdC16dWJhaXItcmVobWFuaS1vbi10aWt0b2stYmFuLWluLWluZGlhLW15LWZhbWlseS1hbmQtaS10b3RhbGx5LXN1cHBvcnQtaXQtZXhjbHVzaXZlLzVlZmFmNmZmNjNhNDU2MjllNWI2YmQwYQ?hl=en-IN&gl=IN&ceid=IN%3Aen,TikTok Star Jannat Zubair Rahmani On App's Ban In India: 'My Family And I Totally Support It'- EXCLUSIVE
https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LnRlbGx5Y2hha2thci5jb20vdHYvdHYtbmV3cy92YXJ1bi1zaGFybWEtbWFrZXMtZnVuLW9mLWphbm5hdC16dWJhaXItaGVyLXJlYWN0aW9uLXVubWlzc2FibGUtMjAwNTA00gFyaHR0cHM6Ly93d3cudGVsbHljaGFra2FyLmNvbS90di90di1uZXdzL3ZhcnVuLXNoYXJtYS1tYWtlcy1mdW4tb2YtamFubmF0LXp1YmFpci1oZXItcmVhY3Rpb24tdW5taXNzYWJsZS0yMDA1MDQ_YW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,Varun Sharma makes fun of Jannat Zubair; her reaction is UNMISSABLE
https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnRlbGx5Y2hha2thci5jb20vdHYvdHYtbmV3cy93ZS1iZXQteW91LXdvdWxkbnQta25vdy1mYWN0LWFib3V0LWphbm5hdC16dWJhaXItcmFobWFuaS0xOTEyMDLSAWtodHRwczovL3d3dy50ZWxseWNoYWtrYXIuY29tL3R2L3R2LW5ld3Mvd2UtYmV0LXlvdS13b3VsZG50LWtub3ctZmFjdC1hYm91dC1qYW5uYXQtenViYWlyLXJhaG1hbmktMTkxMjAyP2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,We bet you wouldn't know THIS fact about Jannat Zubair Rahmani
https://news.google.com/./articles/CAIiEFzSRv8nvU4nRz8J6BSgP0MqGQgEKhAIACoHCAowzcqECzDZuYEDMPq6tgY?hl=en-IN&gl=IN&ceid=IN%3Aen,This is how Jannat Zubair became among the top 10 TikTok influencers!
https://news.google.com/./articles/CBMipAFodHRwczovL3d3dy5zcG90Ym95ZS5jb20vdGVsZXZpc2lvbi90ZWxldmlzaW9uLW5ld3MvamFubmF0LXp1YmFpci1yZWhtYW5pLWFuZC1hamF6LWtoYW4tcy1vdHQtcmVhbGl0eS1zaG93LXRva2Vycy1ob3VzZS1wb3N0cG9uZWQtZXhjbHVzaXZlLzVlYmU4YjdkMGM3YTNiM2RkZjU3NDMyMtIBqAFodHRwczovL3d3dy5zcG90Ym95ZS5jb20vYW1wL3RlbGV2aXNpb24vdGVsZXZpc2lvbi1uZXdzL2phbm5hdC16dWJhaXItcmVobWFuaS1hbmQtYWphei1raGFuLXMtb3R0LXJlYWxpdHktc2hvdy10b2tlcnMtaG91c2UtcG9zdHBvbmVkLWV4Y2x1c2l2ZS81ZWJlOGI3ZDBjN2EzYjNkZGY1NzQzMjI?hl=en-IN&gl=IN&ceid=IN%3Aen,"Jannat Zubair Rehmani And Ajaz Khan's OTT Reality Show, Tokers House Postponed- EXCLUSIVE"
https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LnRlbGx5Y2hha2thci5jb20vdHYvdHYtbmV3cy9qYW5uYXQtenViYWlyLXJlaG1hbmktdGVhbXMtdGVsdWd1LXN1cGVyc3Rhci1uYWdhcmp1bmEtMTkxMDIy0gFpaHR0cHM6Ly93d3cudGVsbHljaGFra2FyLmNvbS90di90di1uZXdzL2phbm5hdC16dWJhaXItcmVobWFuaS10ZWFtcy10ZWx1Z3Utc3VwZXJzdGFyLW5hZ2FyanVuYS0xOTEwMjI_YW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair Rehmani teams up with Telugu superstar Nagarjuna
https://news.google.com/./articles/CAIiEFLtxXZRgrUPuTu2RcGqqjwqGQgEKhAIACoHCAowzrL9CjDC7vQCMJHmnQY?hl=en-IN&gl=IN&ceid=IN%3Aen,HSC Result 2019: Tu Aashiqui fame Jannat Zubair Rehmani secures 81 percent
https://news.google.com/./articles/CAIiEGPsBeJhLY1BEz4OToqkarUqGQgEKhAIACoHCAowzrL9CjDC7vQCMJHmnQY?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair Rehmani crosses 7 Million on Instagram
https://news.google.com/./articles/CBMiggFodHRwczovL3d3dy5yZXB1YmxpY3dvcmxkLmNvbS9lbnRlcnRhaW5tZW50LW5ld3MvYm9sbHl3b29kLW5ld3MvamFubmF0LXp1YmFpci1oZXJlcy1tb3JlLWFib3V0LXRoZS1hY3Rvci1hbmQtdGlrdG9rLXNlbnNhdGlvbi5odG1s0gGGAWh0dHBzOi8vd3d3LnJlcHVibGljd29ybGQuY29tL2FtcC9lbnRlcnRhaW5tZW50LW5ld3MvYm9sbHl3b29kLW5ld3MvamFubmF0LXp1YmFpci1oZXJlcy1tb3JlLWFib3V0LXRoZS1hY3Rvci1hbmQtdGlrdG9rLXNlbnNhdGlvbi5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair: Heres more about the actor and TikTok sensation - Republic World
https://news.google.com/./articles/CBMinwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS90di9uZXdzL2hpbmRpL2luc3RhZ3JhbW1lci1vZi10aGUtd2Vlay1kaXBpa2Eta2FrYXItdG8tamFubmF0LXp1YmFpci10di1jZWxlYnMtZWxlZ2FudC1yYW16YW4tbG9va3MvcGhvdG9zdG9yeS83NTkxNTMyNy5jbXPSAZwBaHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vdHYvbmV3cy9oaW5kaS9pbnN0YWdyYW1tZXItb2YtdGhlLXdlZWstZGlwaWthLWtha2FyLXRvLWphbm5hdC16dWJhaXItdHYtY2VsZWJzLWVsZWdhbnQtcmFtemFuLWxvb2tzL2FtcF9ldHBob3Rvc3RvcnkvNzU5MTUzMjcuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen,Instagrammer of the week: Dipika Kakar to Jannat Zubair; TV celebs’ elegant Ramzan looks
https://news.google.com/./articles/CBMilgFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS90di9uZXdzL2hpbmRpL3JvaGFuLW1laHJhLXRvLWJlLXBhaXJlZC1vcHBvc2l0ZS1qYW5uYXQtenViYWlyLXJlaG1hbmktaW4tdXBjb21pbmctcHJvamVjdC9hcnRpY2xlc2hvdy83MDY3NzM3Ni5jbXPSAZEBaHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vdHYvbmV3cy9oaW5kaS9yb2hhbi1tZWhyYS10by1iZS1wYWlyZWQtb3Bwb3NpdGUtamFubmF0LXp1YmFpci1yZWhtYW5pLWluLXVwY29taW5nLXByb2plY3QvYW1wX2FydGljbGVzaG93LzcwNjc3Mzc2LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen,Rohan Mehra to be paired opposite Jannat Zubair Rehmani in upcoming project
https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnRlbGx5Y2hha2thci5jb20vdHYvdHYtbmV3cy9qYW5uYXQtenViYWlyLXJlaG1hbmktYW5kLWFqYXota2hhbi1zaG9vdC10b2tlcnMtaG91c2UtcHJvbW8tMTkxMDE40gFvaHR0cHM6Ly93d3cudGVsbHljaGFra2FyLmNvbS90di90di1uZXdzL2phbm5hdC16dWJhaXItcmVobWFuaS1hbmQtYWphei1raGFuLXNob290LXRva2Vycy1ob3VzZS1wcm9tby0xOTEwMTg_YW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair Rehmani and Ajaz Khan shoot for Tokers House promo
https://news.google.com/./articles/CAIiEK-8oqQHDmQAI26x71D7EyAqGQgEKhAIACoHCAowioaGCzD-vYMDMLfKsQY?hl=en-IN&gl=IN&ceid=IN%3Aen,TikTok Star Jannat Zubair's Ramzan Routine; Lady Doles Out A Positive Video Amid Call For #TikTokBanInIndia
https://news.google.com/./articles/CAIiEDhCJYwroCJkOpgWf6amjigqGQgEKhAIACoHCAowzcqECzDZuYEDMPq6tgY?hl=en-IN&gl=IN&ceid=IN%3Aen,5 Honest Reasons Why Boys Love Jannat Zubair
https://news.google.com/./articles/CAIiEK_nh3dSk2riZn7vwEaYxjMqGQgEKhAIACoHCAowzcqECzDZuYEDMPq6tgY?hl=en-IN&gl=IN&ceid=IN%3Aen,Moments Jannat Zubair won our hearts over and over again
